"Code";"EAN koda";"Product name";"Žeton";"Kratek opis";"Podroben opis";"Stamp";"Kategorije";"Objavljeno";"Arhivirano";"Košarica";"Mission";"New";"Priporočamo";"Zaloga";"Nabavna cena";"Prodajna cena";"online price";"Funkcijska cena";"DDV v %";"Teža v kg";"Unit";"Podenota";"Prikazna slika";"Dodatna fotografija 1";"Dodatna fotografija 2";"Dodatna fotografija 3";"Dodatna fotografija 4";"Dodatna fotografija 5";"Dodatna fotografija 6";"Dodatna fotografija 7";"Dodatna fotografija 8";"Količina v paketu";"Min. količina za naročilo";"Max. količina za naročilo";"Qty step";"Dobava od";"Dobava do";"Ni sinhronizacije";"Koda nadprodukta";"Kode povezanih produktov";"Kode dodatnih storitev";"Skladišče Open Ocean Sports GmbH (Main warehouse)";"Skladišče Cobra International Co., LTD (Board production)";"Skladišče Open Ocean Sports GmbH (Open Ocean warehouse)";"Skladišče Marketing France (Marketing FR)";"Skladišče Transit 1 (Cobra) E.S.T. end of January (Transit 1)";"Skladišče Transit 2 (China) E.S.T. (Transit 2)";"Skladišče Nicholas Warembourg (Nico - Team Rider)";"Skladišče Nicolas Reynes (Nicolas - team rider)";"Skladišče Tine Slabe (Tine - team rider)";"Skladišče Transit 4 (Ukraine) EST 05.04. (Transit 4)";"Skladišče Transit 5 (Airfright China) ETA 20.06. (Transit 5)";"Skladišče Germany one (Germany one)";"Skladišče Germany two (Germany two)";"Skladišče Slovenia one (Slovenia one)";"Skladišče Surfline Kiel (Surfline Kiel)";"Skladišče Global Creation Sports Gear LTD. (China production)";"Skladišče ExW (Time2Enjoy (Australia))";"Skladišče Thomas Goyard (Goyard)";"Skladišče Test parc France (Test Parc FR)";"Skladišče Miry 24 Logistik GmbH (Warehouse Hamburg)";"Skladišče not valid stock (''Inventory'')";"Skladišče GR (Test Parc GER)";"Skladišče Warehouse Switzerland (Warehouse Switzerland)";"Skladišče Time 4 Action (T4A)";"Size";"Available for preorder"
"PATRIK_S_WAVE";"";"Patrik S-Wave";"patrik-s-wave";"<p>GROWNUPS SURF REAL WAVES &amp; KIDS LEARN HOW TO WINDSURF.</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-wave-9-2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/s-wave-9-2-action1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrik-inflatable-sup1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrik-inflatable-sup3.jpg";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"PATRIK_S_RIDE\PATRIK_S_RACE\PATRIK_S_BOMB\PATRIK_S_FUN";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_S_RIDE";"";"Patrik S-Ride";"patrik-s-ride";"<p>FAMILY SUP &amp; WINDUSRF BOARD - THE LONGER THE FASTER</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-ride-102.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/s-cross-productpicture.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pump-in-bag.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sup-bag.jpg";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_S_RACE";"";"Patrik S-Race";"patrik-s-race";"<p>THE FASTEST TO RACE AND TO GET FIT</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-race-126.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/s-race-productpicture.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pump-in-bag_1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sup-bag_1.jpg";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_S_BOMB";"";"Patrik S-Bomb";"patrik-s-bomb";"<p>THE BIGGEST FOR THE REAL BIG BOYS</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-bomb-112.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/s-bomb-productpicture.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pump-in-bag_2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sup-bag_2.jpg";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_S_FUN";"";"Patrik S-Fun";"patrik-s-fun";"<p>TANDEM FOR SCHOOLS &amp; FAMILY – VERY FAST TOO</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-fun.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pump-in-bag_4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sup-bag_4.jpg";"";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_S-CROSS";"";"Patrik S-Cross";"patrik-s-cross";"<p>AFFORDABLE FAMILY SUP</p>";"<p>Our line of SUPs covers inflatable SUPs (iSUP) of superior quality and a advanced and computer-optimised high-accuracy construction that makes our boards <strong>stiffer and stronger</strong> than other boards on the market. Our ""control-flex"" construction technology was developed over four years of intense testing and non-stop R&amp;D in close cooperation with our production factory which is highly specialised in high-performance dinghys, rafts and ribs.</p>
<p>In this unique construction we are able to reproduce different <strong>bottom shapes on inflatable SUPs</strong> with umatched precision. This allows us to give a Vee bottom to some of our boards in the range and a single concave depending on the shape concept.</p>
<p>All inflatable boards come with a wheeled multi compartment bag and a 3-piece paddle that fits into this bag. Switchable 2-way Pump, Fin and Repairkit included.</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/s-cross.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/s-ride-productpicture_1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pump-in-bag_3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sup-bag_3.jpg";"";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"CHASE_WB-X_FOILBOARD";"";"Chase WB-X Foilboard";"chase-wb-x-foilboard";"<p>FOUR INNOVATIVE CONCEPTS COMBINED IN ONE FOIL BOARD RANGE.</p>";"<p>These brand new foil shapes have been created to feel as neutal and balanced as you've never felt it before. <br />With the WB-X shapes we have crafted boards that give you flotation and comfort but feel at least one size smaller once you are up and flying on the foil. <br />After several prototypes and precise testing we are proud and happy to present you the best foil board concept we've seen until today:</p>
<ul>
<li>Computer-aided designs for perfect volume balance and easy starts</li>
<li>Low drag bottom for an early and effortless take-off, even with small front wings</li>
<li>Concave deck and diamond pad for unmatched grip and carving control</li>
<li>Adaptive rocker lines for explosive pop and and amazing riding control</li>
<li>Low-drag hull for amazing riding control in gusty winds</li>
<li>Adaptive constructions for a perfect strenth-to-weight-to-cost ratio</li>
<li>Selected sizes available with additional Tuttle-Box (T)</li>
</ul>
<p>With a wide range of sizes spread over five different design concepts from prone via freestyle, crossover and race to entry level there’s enough choices to ensure you will find your dream board matching your your riding level and body weight.<br />Designed by Thomas Goyard and Patrik Diethelm.</p>";"";"WING AND FOIL SPORTS\Foil boards\CHASE PROJECT";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/wbx105.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/wbx2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/wbx3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/wbx4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/wbx6.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/wbx1.jpg";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"CHASE_WB_ML_MIDLENTH_FOILBOARD";"";"Chase WB-ML Midlength Foilboard";"chase-ml-midlength-foilboard";"<p>BRANDNEW MIDLENGTH WEAPON FOR WING, PARAWING, PRONE AND E-FOIL USE.</p>";"<p>These new Mid Length foil shapes have been developed to deliver a level of neutrality, balance, and performance that feels unmatched.<br /> With the WB-X Mid Length series, we’ve created boards that provide effortless glide and stable flotation, yet feel more agile and responsive the moment you lift off.</p>
<p>Whether you’re using a wing, soaring with a <span><strong>parawing</strong></span> or carving waves on a foil, these boards are designed for ultimate versatility and control.</p>";"";"WING AND FOIL SPORTS\Foil boards\CHASE PROJECT";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/wb-ml-85-2026_1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/parawing-midlength.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ml2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ml4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ml3.jpg";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"CHASE_WB-R_FOILBOARD";"";"Chase WB-R Wingfoil Raceboard";"chase-wb-r-wingfoil-raceboard";"<p>INNOVATIVE LIGHTWEIGHT WING RACING BOARD</p>";"<p>The <strong>WBR Wingfoil Racing boards</strong> are the perfect choice for riders looking to dominate <strong>wingfoil races</strong> with a lightweight, responsive, and high-performance design. Whether you’re participating in <strong>competitive wing racing</strong>, <strong>long-distance challenges</strong>, or pushing the limits of <strong>speed</strong>, these boards are built to help you <strong>win</strong>. Get ready to experience <strong>peak performance</strong> on the water with the <strong>WBR range</strong>—where every detail has been designed to give you the edge in any race.</p>";"";"WING AND FOIL SPORTS\Foil boards\CHASE PROJECT";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/wb-r1080.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action31080.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action21080.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action11080.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pic3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pic2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/pic1.jpg";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"CHASE_DW_X_DOWNWIND";"";"Chase DW-X Downwind";"chase-dw-x-downwind";"<p>ADVANCED DOWNWIND SHAPE FOR CROSSOVER USE AND FREERIDING</p>";"<p>Developed by Thomas Goyard (Foil specialist, designer and Olympic Windsurfing silver medalist) and mastermind Patrik Diethelm, the DW-X concept has been on Thomas'  mind and heart for a long time. These shape carry his broad experience and knowledge, endless passion and love for downwinding and any foil riding.<br />After extensive testing and prototyping the range is finally here. These boards have seen it all: flat water, swell, waves, chop and wind speeds from 10 to 40 knots. The goal was to gather as many test results as possible and translate them into the ultimate allround freeride shape. The DW-X range is made for riders who wants to feel one with their board. If you're looking for a reactive, strong and durable board under your feet without breaking the bank - Order your DW-X now!</p>";"";"WING AND FOIL SPORTS\Foil boards\CHASE PROJECT";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/dwx.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/goyard1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/goyard2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/goyard3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/goyard4.jpg";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"PATRIK_FOIL_AIO_PRO";"";"Patrik Foil A.I.O. Pro";"patrik-foil-aio-pro";"<p>A.I.O. = “ALL IN ONE” AND THESE SHAPES LOOK AND WORK LIKE THEY TRAVELLED BACK FROM THE FUTURE.</p>";"<p><strong><em>A.I.O. = All in One<br /></em></strong>Exactly this is what PATRIK stands for and we could not be prouder that in Germany they are praised as the “<em>Tesla of wing boards</em>”!<strong><br /></strong>As a shaper and designer Patrik can leave nothing to chance and to ride everything what he designs and feel what is really needed is his strength.</p>
<p>To be able and understand every shape line even on the smallest board size 4’6” with only 35 litres Patrik also showed his persistence on the water and pushed himself to the limits. Those boards can be used for all sorts of foil sports from <em>surfing</em> to<em> tow-in</em>, <em>wake, SUP, Wing</em> and in the two windsurf options also <em>windsurf</em>. An innovative two-step side shape gives the board unique stability and maneuverability. We decided to give you really all the options with our A.I.O. range that is why all the boards have both fin box options the Foil deep turtle and also the US plate system.</p>
<p><strong>BUILD TO LAST:</strong> <br />The full-carbon sandwich PVC construction makes those boards really stiff and consecutively very high performance. On the A.I.O. you feel your foil like you have never felt it before.</p>
<p style=""text-align: justify;"">The A.I.O. is the perfect foil toy for all dedicated watermen and waterwomen out there!<br />THE A.I.O. 5'0 is the fastest production wing board out there. You get the exact same board Bastien Escofet was using to break the World Record in 2022.</p>";"";"SPECIALS";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/aio-5-9f-2023-visuals-1000_1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro5.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/action-aio-pro.jpg";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"1";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"PATRIK_QTS_WAVE";"";"Patrik QTS-Wave";"patrik-qts-wave";"<p>OUR MOST RADICAL MULTI-FIN WAVEBOARD EVER!</p>";"<p>The QTS is the result of progession and further devolopment on the QT Wave.<br />This amazing 5-box waveboards gives you all the options from Quad, to Thruster and Single fin. <br />By carefully modifying the bottom contours of the QT with deeper double concaves we have created the most complete and most radical waveboard we've ever designed.<br />On the wave the new QTS shines with more hold, more drive and especially more grip in the top turn while keeping most of the excellent planing and accelleration of the QT-Wave.<br />We recommend this board over the TS-Wave in down-the-line conditions and for long fast bottom turns. The QTS has more grip and more drive than the TS.<br />The TS-Wave wins in onshore conditions and hollow waves that want to be ridden tight in the pocket. The TS has the ability to go super vertical and feels loose and free.</p>";"";"WINDSURFING\Windsurf boards";"1";"0";"1";"1";"0";"1";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/waveqts-listview.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qts4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qts5.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qts33.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qts2.jpg";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"P10210001135\PATRIK_5_WAVE\PATRIK_MAST_RDM_100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"PATRIK_QT_WAVE";"";"Patrik QT-Wave 23/24";"patrik-qt-wave";"<p>AROUND-THE-GLOBE PERFORMANCE WAVE BOARD WITH  MULTIPLE FIN OPTIONS. NEW ROCKERLINE AND MORE VEE FOR AN EVEN BETTER WAVE PERFORMANCE.</p>";"<p style=""text-align: justify;"">Different wave spots, different conditions and different styles of riding make it really difficult to develop a high-level production wave board... but our <strong>QT-WAVE</strong> is the answer for those who want to travel light and play in any kind of wind and wave conditions.</p>
<p style=""text-align: justify;"">With the <strong>5 fin boxes</strong> (1x US, 4x Slot) you can setup the board as <em>Singlefin, Twinser, Trailer, Tri-Fin, Thruster, Quad and even Trailer Quad (5Fin).</em> With all these options you can perfectly adapt the QT-Wave to your style of riding and the type of waves the spot is offering.</p>
<p style=""text-align: justify;""><strong>WHAT'S NEW TO THE PREVIOUS MODEL:<br /></strong>- Modified tail rocker for a more agressive feeling on the wave and more control on the turns<br />- New Vee-shaped tail section for better water release and a more alive rail-to-rail feel<br />- Optimised strength-to-weight ratio and new graphics by Fabio Canella</p>";"";"SPECIALS";"1";"0";"1";"0";"1";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/qtw87-1000.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qt-action1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qt-action2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qt-action3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/qt-action4.jpg";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"PATRIK_F_WAVE\PATRIK_4_WAVE\PATRIK_5_WAVE\PATRIK_X_CROSS";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Yes"
"P02210003046";"4262431692742";"Patrik Foil A.I.O. Pro 4'6";"p02210003046";"";"";"";"WING AND FOIL SPORTS\Foil boards";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"640,6200";"640,6200";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/aio-4-6-2023-visualsupd.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FOIL_AIO_PRO";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4'6";""
"P02210003050";"4262431692759";"Patrik Foil A.I.O. Pro 5'0";"p02210003050";"";"";"";"WING AND FOIL SPORTS\Foil boards";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"670,6200";"670,6200";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/aio-5-0-2023-visualsupd.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FOIL_AIO_PRO";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"5'0";""
"PATRIK_TS_WAVE";"";"Patrik TS-Wave";"patrik-ts-wave";"<p>GO VERTICAL ON ANY MEDIUM SIZE AND HOLLOW WAVE.</p>";"<p>Newschool Tri-Fin Concept with three same size S-Wave fins for a true surfing-like feeling on beach break waves. Compact and radical. Extra surface in the nose for new school sliding tricks on the wave. Perfect in small to medium waves and hollow beach breaks that want to be ridden vertically. <br />More skatey and agile than the QTS but still plenty of grip for carved top turns. More nervous in longer arcs than the QTS. Its agility on unpredictable waves makes this board your perfect onshore and allround travel companion. Loose and super fast with the ability to move very freely on the wave and to change your turn’s radius easily. Good board speed and amazing lift for big jumps. Well balanced and smooth in the chop.</p>
<p>This concept is NOT a free wave board. The TS is a radical surf board that takes your vertical turns to the next level!</p>";"";"WINDSURFING\Windsurf boards";"1";"0";"1";"1";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/ts-wave-85_1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ts-4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ts-3.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ts-2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/ts-1.jpg";"";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"PATRIK_FWAVE_2025";"";"Patrik F-Wave";"patrik-f-wave3";"<p>SUPER FAST THRUSTER WAVEBOARD FOR ONSHORE AND BUMP&amp;JUMP</p>";"<div class=""flex_column av_one_half  flex_column_div first  avia-builder-el-17  el_after_av_hr  el_before_av_one_half  "">
<section class=""av_textblock_section "">
<div class=""avia_textblock  "" itemprop=""text"">
<p>This special concept in our range is made for the airtime lovers who don’t want to sacrifice the wave riding. <br />The PATRIK F-Wave is most probably the fastest waveboard ever that still performs well in small to medium waves. With a <em>Powerbox for the center fin of the thruster setup</em> we leave it entirely up to you which fin to choose to go fast and jump high or ride waves and slice turns.<br />95, 105 and 115 are the sizes we chose for 2025. While the shape of the 95 remained unchanged the two bigger sizes have a new rockerline with increased tail vee. They feel small on the wave, but carry all the volume you need to be the first one planing. If you love to play in any conditions from waves to chop and even flat water the new F-Wave is here for you!</p>
</div>
</section>
</div>";"";"WINDSURFING\Windsurf boards";"1";"0";"1";"0";"0";"0";"";"0,0000";"0,0000";"0,0000";"0,0000";"0,0000";"0,00";"";"";"https://www.patrikinternational.com/assets/shop_product/fwave2025-105.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/f-wave6.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/fwave-1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/fwave7.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/fwave-2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/fwave-3.jpg";"";"";"";"0,0000";"0,000";"0,000";"0,000";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
